,mst_id,det_id,date,dtv,values,weekday,day_type,yeartime
54971,4014,4014013,2019-08-13,20078,"[0.0025400936348241856, 0.0008466978782747285, 0.0008466978782747285, 0.001294949696184879, 0.0034864030281900587, 0.030381512102799085, 0.07764717601354716, 0.08730949297738819, 0.08317561510110569, 0.06863233389779859, 0.05767506723777269, 0.057575455722681544, 0.0583723478434107, 0.055832254208586514, 0.05772487299531826, 0.05961749178205, 0.06833349935252515, 0.067536607231796, 0.05702759238968025, 0.03929674270345652, 0.027791612710429327, 0.017730849686223727, 0.013646777567486801, 0.0056778563601952384]",1,5.0,2.0
54972,4014,4014013,2019-08-12,19775,"[0.0035398230088495575, 0.001011378002528445, 0.0010619469026548673, 0.0008596713021491783, 0.00404551201011378, 0.03261694058154235, 0.07979772439949431, 0.08520859671302149, 0.08116308470290771, 0.0684197218710493, 0.061289506953223764, 0.0638685208596713, 0.05957016434892541, 0.05709228824273072, 0.05820480404551201, 0.06184576485461441, 0.0632111251580278, 0.06245259165613148, 0.05648546144121366, 0.03701643489254109, 0.02609355246523388, 0.017395701643489254, 0.010467762326169406, 0.007281921618204804]",0,2.0,3.0
54973,4014,4014013,2019-08-11,13822,"[0.012009839386485314, 0.00586022283316452, 0.003906815222109681, 0.0027492403414845898, 0.005136738532773839, 0.00824772102445377, 0.012226884676602517, 0.013456807987266676, 0.02307914918246274, 0.036970047749963826, 0.06185790768340327, 0.07126320358848214, 0.06938214440746636, 0.06757343365648966, 0.07068441614816959, 0.06605411662566922, 0.07053971928809145, 0.06598176819563016, 0.07068441614816959, 0.07386774706988858, 0.07285486904934163, 0.06880335696715381, 0.03328027781797135, 0.013529156417305744]",6,1.0,3.0
54974,4014,4014013,2019-08-10,13778,"[0.009943388009870808, 0.005661199012919146, 0.003628973726230222, 0.0032660763536072, 0.005733778487443751, 0.011394977500362898, 0.0195964581216432, 0.025620554507185367, 0.04129772100449993, 0.06931339817099724, 0.08440992887211497, 0.09297430686601829, 0.09065176368123094, 0.08760342575119756, 0.08528088256641021, 0.07533749455653942, 0.07076498766148934, 0.058426476992306575, 0.05080563216722311, 0.0457250689505008, 0.027943097691972712, 0.0008709536942952533, 0.015314269124691537, 0.01843518652924953]",5,1.0,3.0
54975,4014,4014013,2019-08-09,21337,"[0.003561887800534283, 0.0013591413975722923, 0.0006561372264142101, 0.0017340769555232694, 0.004124291137460749, 0.03308806298917374, 0.06744153348643202, 0.0800956085672775, 0.07170642545812439, 0.06458264985705582, 0.058864882598303414, 0.05858368092984018, 0.06477011763603131, 0.0646295168017997, 0.06111449594600928, 0.05848994704035244, 0.05952101982471763, 0.061864367061911237, 0.05127243754979613, 0.041992782490509445, 0.030791582696724, 0.027370295730421334, 0.01991845151614566, 0.012466607301869992]",4,2.0,2.0
54976,4014,4014013,2019-08-08,21985,"[0.0022287923584261996, 0.0008187400500341142, 0.0007732544916988856, 0.0012735956333863997, 0.003866272458494428, 0.03384125540141005, 0.0767341369115306, 0.08601319081191722, 0.07823516033659313, 0.07082101432795088, 0.056311121219012966, 0.057903115760745964, 0.05685694791903571, 0.059040254719126675, 0.061450989310893794, 0.06045030702751876, 0.06231521491926313, 0.06267909938594496, 0.050898339777120764, 0.03788947009324539, 0.030657266317944052, 0.022015010234250624, 0.01714805549238117, 0.00977939504207414]",3,5.0,2.0
54977,4014,4014013,2019-08-07,22087,"[0.002625979082718341, 0.0009507855299497442, 0.0007244080228188528, 0.0009055100285235659, 0.004120070629782225, 0.034137728075338436, 0.07796441345587903, 0.08769864626250735, 0.0842577081541178, 0.0665549870964821, 0.05713768279983701, 0.057454611309820255, 0.05514556073708516, 0.05917508036401503, 0.0611219269253407, 0.06284239597953548, 0.06211798795671662, 0.06343097749807579, 0.052655408158645355, 0.039389686240775115, 0.02680309684429755, 0.020373975641780232, 0.015303119482048263, 0.007108253723909992]",2,1.0,2.0
54978,4014,4014013,2019-08-06,21961,"[0.002641045489731797, 0.000819634807158144, 0.0003187468694503893, 0.0005919584718364373, 0.003870497700469013, 0.0356996493784436, 0.07768316561176632, 0.08219115705113611, 0.07750102454350895, 0.06802968899412595, 0.05732890123400574, 0.059878876189608854, 0.05660033696097628, 0.05924138245070807, 0.0609261873320887, 0.06525203770320114, 0.06251992167934065, 0.06315741541824142, 0.05609944902326852, 0.03970675288010564, 0.027230089704476115, 0.021082828650790038, 0.013615044852238058, 0.008014207003324074]",1,2.0,1.0
54979,4014,4014013,2019-08-05,21510,"[0.002603440260344026, 0.0008833100883310088, 0.0011622501162250117, 0.0011622501162250117, 0.004044630404463041, 0.03891213389121339, 0.08261273826127383, 0.08358902835890283, 0.08098558809855881, 0.06387726638772664, 0.05746164574616457, 0.0601115760111576, 0.05629939562993956, 0.05569502556950256, 0.05639237563923757, 0.05829846582984658, 0.06355183635518363, 0.07038586703858671, 0.05950720595072059, 0.038679683867968384, 0.026406322640632265, 0.01780567178056718, 0.012877731287773128, 0.0066945606694560665]",0,1.0,1.0
54980,4014,4014013,2019-08-04,13840,"[0.015101156069364161, 0.008236994219653179, 0.004624277456647399, 0.004118497109826589, 0.0032514450867052024, 0.0060693641618497106, 0.009104046242774567, 0.009465317919075145, 0.02283236994219653, 0.0365606936416185, 0.05361271676300578, 0.06697976878612717, 0.06958092485549133, 0.06994219653179191, 0.07687861271676301, 0.07124277456647399, 0.0708092485549133, 0.07933526011560693, 0.07854046242774566, 0.07117052023121387, 0.0671242774566474, 0.05354046242774566, 0.0365606936416185, 0.015317919075144508]",6,1.0,1.0
54981,4014,4014013,2019-08-03,15568,"[0.009442446043165468, 0.0041109969167523125, 0.0029547790339157247, 0.003211716341212744, 0.005652620760534429, 0.009763617677286743, 0.021004624871531347, 0.023638232271325797, 0.04175231243576567, 0.06327081192189106, 0.08177029804727647, 0.09018499486125385, 0.08170606372045221, 0.08112795477903391, 0.07868705035971223, 0.06924460431654676, 0.06442702980472764, 0.06076567317574512, 0.06025179856115108, 0.041816546762589925, 0.03699897225077081, 0.026336073997944503, 0.02460174717368962, 0.017279033915724565]",5,5.0,4.0
54982,4014,4014013,2019-08-02,22754,"[0.003691658609475257, 0.0015821394040608245, 0.0013623978201634877, 0.0013623978201634877, 0.0047464182121824735, 0.03379625560341039, 0.06719697635580557, 0.07748088248220093, 0.0757668981278017, 0.0644721807154786, 0.06113210864023908, 0.06139579854091588, 0.06398874923090446, 0.06895490902698427, 0.0687791157598664, 0.06324162784565351, 0.06100026368990068, 0.05528698250856992, 0.04781576865606047, 0.0364771029269579, 0.02843456095631537, 0.023116814625999824, 0.0172277401775512, 0.011690252263338315]",4,1.0,4.0
54983,4014,4014013,2019-08-01,24024,"[0.0030386280386280385, 0.0010822510822510823, 0.000999000999000999, 0.0012487512487512488, 0.003912753912753913, 0.034507159507159504, 0.07017982017982018, 0.07742257742257742, 0.07296869796869797, 0.06297868797868798, 0.06043956043956044, 0.05307192807192807, 0.05914918414918415, 0.06056443556443557, 0.06322843822843822, 0.06156343656343656, 0.05923243423243423, 0.06472693972693973, 0.060855810855810856, 0.041458541458541456, 0.03271728271728272, 0.025224775224775224, 0.018897768897768896, 0.010531135531135532]",3,1.0,4.0
